Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

06/08/2005,08:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,09:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,09:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,09:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,09:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,10:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,10:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,10:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,10:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,11:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,11:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,11:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,11:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,12:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,12:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,12:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,12:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,13:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,13:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,13:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,13:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,14:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,14:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,14:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,14:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,15:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,15:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,15:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,15:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,16:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,16:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,16:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,16:57:00,nan,0.0,0.0,0.0,nan,nan

