Relatório Pluviométrico da Estação: Grota Funda

Dados normalizados para o Horário Brasileiro de Verão (HBV)

Dia         Hora      HBV   15 min   01 h   04 h   24 h   96 h
04/12/2022  08:45:00           0.0    0.0    0.0    0.0    3.8
04/12/2022  09:00:00            ND     ND     ND     ND     ND
04/12/2022  09:15:00            ND     ND     ND     ND     ND
04/12/2022  09:30:00            ND    0.0     ND    0.0    3.8
04/12/2022  09:45:00           0.0    0.0     ND    0.0     ND
04/12/2022  10:00:00           0.0     ND    0.0     ND     ND
04/12/2022  10:15:00           0.0     ND    0.0    0.0    3.8
04/12/2022  10:30:00           0.0    0.0    0.0    0.0    3.8
04/12/2022  10:45:00            ND     ND     ND     ND     ND
04/12/2022  11:00:00            ND    0.0    0.0     ND    3.8
04/12/2022  11:15:00           0.0    0.0    0.0    0.0    3.8
04/12/2022  11:30:00           0.0    0.0    0.0     ND    3.8
04/12/2022  11:45:00           0.0     ND    0.0     ND    3.8
04/12/2022  12:00:00           0.0    0.0    0.0    0.0    3.8
04/12/2022  12:15:00           0.0    0.0     ND    0.0    3.8
04/12/2022  12:30:00            ND     ND     ND     ND     ND
04/12/2022  12:45:00            ND     ND     ND     ND     ND
04/12/2022  13:00:00            ND    0.0     ND    0.0    3.8
04/12/2022  13:15:00           0.0    0.0     ND     ND     ND
04/12/2022  13:30:00           0.0     ND    0.0    0.0     ND
04/12/2022  13:45:00           0.0     ND    0.0    0.0    3.8
04/12/2022  14:00:00           0.0    0.0    0.0    0.0     ND
04/12/2022  14:15:00           0.0    0.0    0.0    0.0    3.8
04/12/2022  14:30:00           0.0    0.0    0.0    0.0     ND
04/12/2022  14:45:00           0.0    0.0     ND     ND    3.8
04/12/2022  15:00:00           0.0    0.0    0.0    0.0     ND
04/12/2022  15:15:00           0.0    0.0    0.0    0.0     ND
04/12/2022  15:30:00            ND     ND     ND     ND     ND
04/12/2022  15:45:00            ND    0.0    0.0    0.0    3.8
04/12/2022  16:00:00            ND     ND     ND     ND     ND
04/12/2022  16:15:00            ND     ND     ND     ND     ND
04/12/2022  16:30:00            ND     ND     ND     ND     ND
04/12/2022  16:45:00            ND     ND     ND     ND     ND
04/12/2022  17:00:00            ND     ND     ND     ND     ND
04/12/2022  17:15:00            ND     ND     ND     ND     ND
04/12/2022  17:30:00            ND     ND     ND     ND     ND
04/12/2022  17:45:00            ND     ND     ND     ND     ND
04/12/2022  18:00:00            ND     ND    0.0    0.0    3.6
04/12/2022  18:15:00           0.0     ND    0.0    0.0     ND
04/12/2022  18:30:00            ND     ND     ND     ND     ND
04/12/2022  18:45:00            ND     ND    0.0    0.0    3.4
04/12/2022  19:00:00           0.0    0.0    0.0    0.0    3.4
04/12/2022  19:15:00           0.0    0.0    0.0    0.0    3.4
04/12/2022  19:30:00           0.0     ND     ND    0.0     ND
04/12/2022  19:45:00           0.0    0.0    0.0    0.0    3.2
04/12/2022  20:00:00            ND     ND     ND     ND     ND
04/12/2022  20:15:00            ND     ND     ND     ND     ND
04/12/2022  20:30:00            ND    0.0     ND    0.0     ND
04/12/2022  20:45:00            ND     ND     ND     ND     ND
04/12/2022  21:00:00            ND     ND     ND    0.0    0.2
04/12/2022  21:15:00           0.0     ND     ND    0.0    0.2
04/12/2022  21:30:00           0.0    0.0     ND    0.0    0.2
04/12/2022  21:45:00           0.0     ND     ND    0.0    0.2
04/12/2022  22:00:00           0.0    0.0    0.0    0.0    0.2
04/12/2022  22:15:00           0.0    0.0    0.0    0.0    0.2
04/12/2022  22:30:00            ND     ND     ND     ND     ND
04/12/2022  22:45:00            ND    0.0    0.0    0.0    0.2
